大分類,中分類,No.,研修項目,操作手順・内容,備考欄
基本項目,-,1,六大用語,明るく元気に、隣のレジに聞こえる声の大きさで行う,心得帳参照
基本項目,-,2,基本販売用語,-,心得帳参照
基本項目,-,3,売場案内,PLUを使う商品の説明、担当グループ名の説明を行う,PLU資料配布
基本項目,-,4,レジキー保管場所,保管場所:,正面レジは各フロアで1本・コーナーレジは各レジ1本
基本項目,-,5,レジ離脱ルール,レジキー・カッター台・ミリオンを所定の場所に保管し、隣接レジのチェッカーに行き先を伝える,レジ閉局し、ダイナキーで【L】の状態にする
基本項目,-,6,100番表,-,-
基本項目,-,7,ディスプレイの見方,-,-
基本項目,-,8,レシートの見方,消費税欄・まとめ売り,-
基本項目,-,9,レシート交換,レシートの向き,M-POS/その他レジ
基本項目,-,10,ゼロ点検,【レジ操作】[ゼロ点検] → [クリア],開局前に実施・【あり】だった場合の対応
基本項目,-,11,自動開局(J-Mups),【レジ操作】[はい] or [いいえ],釣銭入金時、J-Mups端末画面を確認
基本項目,-,12,クリア,【レジ操作】[クリア],-
基本項目,-,13,レジ開局,【レジ操作】レジキーR → 責任者No. → [責No.],【通信中】表示中にレジ操作はしない
基本項目,-,14,レジ開局(スキャン),【レジ操作】レジキーR → 社員IDスキャン → [責No.],【通信中】表示中にレジ操作はしない
基本項目,-,15,ICオフ,【レジ操作】レジ閉局し、再度レジ開局操作を行う ※J-Mups端末画面が【POS連動中…】以外の表示の場合に発生,ディスプレイに【ICオフ】と表示
基本項目,-,16,レジ閉局,【レジ操作】[責No.] → [L],レジ離脱時は必ず実施
基本項目,-,17,替,【レジ操作】[替] → 責任者No. → [金額],ジャーナル記入表に理由を記入
基本項目,-,18,替(スキャン),【レジ操作】[替] → 社員IDスキャン → [金額],ジャーナル記入表に理由を記入
基本項目,-,19,解除,【レジ操作】[解除],クリアで戻らない場合
登録,固定式スキャナー,20,スキャン登録,【レジ操作】※酒・煙草販売時は、年齢確認を行う ※同じ商品を2個連続でスキャンすると音が変わる,-
登録,固定式スキャナー,21,身分証明確認,【レジ操作】商品登録 → [OK] or [NG],商品→酒・煙草
登録,固定式スキャナー,22,年齢確認,【レジ操作】商品登録 → [OK] or [NG],年齢確認表の見方
登録,固定式スキャナー,23,明細画面・PLU画面,【レジ操作】[明細画面へ] or [PLU画面へ],-
登録,固定式スキャナー,24,JAN登録,【レジ操作】JANコード → [JAN],-
登録,固定式スキャナー,25,DPT登録,【レジ操作】部門番号 → [部門] → ○○円 → [金額],3桁・金額は本体価格で入力
登録,固定式スキャナー,26,クラス登録,【レジ操作】クラス番号 → [クラス] → ○○円 → [金額],4桁・金額は本体価格で入力
登録,固定式スキャナー,27,10万円以上の登録(DPT・クラス),【レジ操作】部門番号orクラス番号 → [部門] or [クラス] → [桁解除] → ○○円 → [金額],-
登録,固定式スキャナー,28,税率変更,【レジ操作】[税率変更] → [軽減税率8%] or [標準税率10%] → [はい] → 商品登録 ※店内飲食の場合、税率を10%に変更,クリアor解除で税率変更を解除できる。画面に変更後の税率が表示
登録,固定式スキャナー,29,リピート,【レジ操作】商品登録 → [リピート],-
登録,固定式スキャナー,30,掛算登録(スキャン・JAN),【レジ操作】個数 → [×] → 商品登録,スキャン・JAN・DPT・クラスすべて同様の操作
登録,固定式スキャナー,31,100個以上の場合,【レジ操作】[桁解除] → 個数 → [×] → 商品登録,スキャン・JAN・DPT・クラスすべて同様の操作
登録,固定式スキャナー,32,DPT登録の場合,【レジ操作】[桁解除] → 個数 → [×] → 部門番号 → [部門] → ○○円 → [金額],-
